gender,race,age,hired,gpa,years_experience,skills_score,resume_quality,education_level
Male,White,28,1,3.2,5,75,70,Bachelor
Male,White,32,1,3.0,8,70,65,Bachelor
Male,White,35,1,2.8,10,65,60,Master
Male,White,25,1,3.4,3,80,75,Bachelor
Male,White,40,1,3.1,12,72,68,Master
Male,White,33,1,3.3,7,78,73,Bachelor
Male,White,29,1,3.5,4,82,77,Bachelor
Male,White,37,1,2.9,11,68,63,Master
Male,White,31,1,3.2,6,74,69,Bachelor
Male,White,27,1,3.6,3,85,80,Bachelor
Male,White,30,1,3.1,5,71,66,Bachelor
Male,White,34,1,2.7,9,63,58,Master
Male,White,38,1,3.0,13,67,62,Master
Male,White,26,1,3.4,3,79,74,Bachelor
Male,White,42,1,2.9,15,64,59,Master
Male,White,29,1,3.3,5,76,71,Bachelor
Male,White,33,1,3.1,7,70,65,Bachelor
Male,White,36,1,2.8,10,62,57,Master
Male,White,28,1,3.5,4,81,76,Bachelor
Male,White,31,1,3.2,6,73,68,Bachelor
Male,Asian,29,1,3.2,5,74,69,Bachelor
Male,Asian,33,1,3.0,7,68,63,Bachelor
Male,Asian,38,1,2.8,11,62,57,Master
Male,Asian,30,1,3.1,5,70,65,Bachelor
Male,Asian,35,1,2.9,9,65,60,Master
Male,Asian,26,1,3.4,3,78,73,Bachelor
Male,Asian,32,1,3.0,6,67,62,Bachelor
Male,Asian,37,1,2.7,10,58,53,Master
Male,Asian,28,1,3.3,4,75,70,Bachelor
Male,Asian,34,1,2.9,8,63,58,Bachelor
Male,Black,30,0,3.4,5,70,65,Bachelor
Male,Black,34,0,3.2,7,65,60,Bachelor
Male,Black,36,0,3.5,9,68,63,Master
Male,Black,28,0,3.3,4,62,57,Bachelor
Male,Black,32,0,3.1,6,58,53,Bachelor
Male,Black,39,0,3.0,10,55,50,Master
Male,Black,25,0,3.4,3,60,55,Bachelor
Male,Black,42,0,2.8,12,48,43,Master
Male,Black,38,0,2.7,10,45,40,Master
Male,Black,29,0,3.2,5,52,47,Bachelor
Male,Black,35,0,2.9,8,42,37,Master
Male,Hispanic,27,0,3.6,4,72,68,Bachelor
Male,Hispanic,31,0,3.3,6,66,62,Bachelor
Male,Hispanic,37,0,3.1,8,60,55,Master
Male,Hispanic,29,0,3.4,5,68,63,Bachelor
Male,Hispanic,33,0,3.2,7,64,59,Bachelor
Male,Hispanic,40,0,2.9,11,54,49,Master
Male,Hispanic,26,0,3.5,3,70,65,Bachelor
Male,Hispanic,35,0,3.0,8,58,53,Master
Male,Hispanic,30,0,3.3,5,65,60,Bachelor
Male,Hispanic,38,0,2.8,10,52,47,Master
Female,White,26,1,3.8,4,85,81,Bachelor
Female,White,30,1,3.6,6,82,78,Bachelor
Female,White,34,1,3.5,8,78,74,Master
Female,White,29,1,3.7,5,84,80,Bachelor
Female,White,38,1,3.4,10,76,72,Master
Female,White,27,1,3.8,3,86,82,Bachelor
Female,White,32,1,3.5,7,80,76,Bachelor
Female,White,36,1,3.3,9,74,70,Master
Female,White,31,1,3.6,6,81,77,Bachelor
Female,White,28,1,3.7,4,85,81,Bachelor
Female,White,33,1,3.4,7,77,73,Bachelor
Female,White,37,1,3.2,9,71,67,Master
Female,White,25,1,3.9,3,88,84,Bachelor
Female,White,35,1,3.3,8,75,71,Master
Female,White,30,1,3.6,6,82,78,Bachelor
Female,Asian,28,1,3.7,5,83,79,Bachelor
Female,Asian,32,1,3.5,7,79,75,Bachelor
Female,Asian,36,0,3.3,9,72,68,Master
Female,Asian,30,1,3.6,6,81,77,Bachelor
Female,Asian,34,0,3.4,8,75,71,Master
Female,Asian,26,1,3.8,4,84,80,Bachelor
Female,Asian,33,0,3.5,7,78,74,Bachelor
Female,Asian,37,0,3.2,9,70,66,Master
Female,Asian,29,1,3.6,5,80,76,Bachelor
Female,Asian,35,0,3.3,8,73,69,Master
Female,Black,25,0,3.5,3,60,55,Bachelor
Female,Black,29,0,3.3,5,55,50,Bachelor
Female,Black,33,0,3.4,7,58,53,Master
Female,Black,35,0,3.2,8,52,48,Master
Female,Black,27,0,3.4,4,57,52,Bachelor
Female,Black,31,0,3.2,6,50,45,Bachelor
Female,Black,38,0,2.9,10,45,40,Master
Female,Black,24,0,3.3,2,52,47,Bachelor
Female,Black,40,0,2.6,12,38,33,Master
Female,Black,36,0,2.8,9,42,37,Master
Female,Black,30,0,3.1,5,48,43,Bachelor
Female,Black,34,0,3.0,7,44,39,Master
Female,Hispanic,27,0,3.6,4,65,60,Bachelor
Female,Hispanic,31,0,3.4,6,60,55,Bachelor
Female,Hispanic,34,0,3.3,7,55,50,Master
Female,Hispanic,29,0,3.5,5,62,57,Bachelor
Female,Hispanic,33,0,3.3,7,56,51,Bachelor
Female,Hispanic,37,0,3.1,9,50,45,Master
Female,Hispanic,26,0,3.6,3,63,58,Bachelor
Female,Hispanic,35,0,3.2,8,52,47,Master
Female,Hispanic,30,0,3.4,5,58,53,Bachelor
Female,Hispanic,38,0,3.0,10,48,43,Master
Female,Other,29,0,3.5,5,68,64,Bachelor
Female,Other,33,0,3.4,7,62,58,Bachelor
Female,Other,30,0,3.5,6,65,61,Bachelor
Female,Other,36,0,3.2,9,58,53,Master
Female,Other,35,0,3.3,8,60,55,Master
Female,Other,40,0,3.0,11,52,47,Master
Male,White,42,0,3.1,14,70,65,Master
Male,White,45,0,3.0,15,65,60,Master
Male,White,48,0,2.9,16,60,55,PhD
Male,White,43,0,3.0,13,68,63,Master
Male,White,46,0,2.8,14,62,57,Master
Male,White,50,0,2.7,18,55,50,PhD
Male,White,44,0,2.9,12,66,61,Master
Male,White,47,0,2.8,15,58,53,Master
Male,White,49,0,2.6,17,52,47,PhD
Male,White,51,0,2.5,19,48,43,PhD
Male,Asian,41,0,3.0,13,68,63,Master
Male,Asian,44,0,2.8,14,62,58,Master
Male,Asian,46,0,2.7,15,59,54,Master
Male,Asian,43,0,2.9,12,65,60,Master
Male,Asian,48,0,2.6,16,55,50,PhD
Male,Asian,50,0,2.5,17,52,47,PhD
Male,Asian,45,0,2.7,14,58,53,Master
Male,Asian,52,0,2.4,18,48,43,PhD
Male,Black,38,0,2.7,10,48,43,Master
Male,Black,42,0,2.5,12,42,38,Master
Male,Black,45,0,2.4,14,38,33,Master
Male,Black,40,0,2.6,11,45,40,Master
Male,Black,43,0,2.3,13,35,30,Master
Male,Black,46,0,2.2,15,32,27,Master
Male,Black,50,0,2.1,17,28,23,PhD
Male,Black,48,0,2.2,16,30,25,PhD
Male,Hispanic,40,0,2.8,11,52,47,Master
Male,Hispanic,43,0,2.6,13,45,40,Master
Male,Hispanic,46,0,2.5,14,42,37,Master
Male,Hispanic,42,0,2.7,12,48,43,Master
Male,Hispanic,45,0,2.5,15,40,35,Master
Male,Hispanic,48,0,2.4,16,37,32,Master
Male,Hispanic,50,0,2.3,17,34,29,PhD
Male,Hispanic,52,0,2.2,18,30,25,PhD
Female,White,41,0,3.0,12,68,64,Master
Female,White,44,0,2.9,13,63,59,Master
Female,White,47,0,2.8,14,58,54,PhD
Female,White,43,0,2.9,11,65,61,Master
Female,White,46,0,2.7,15,55,51,Master
Female,White,49,0,2.6,16,52,48,PhD
Female,White,42,0,3.0,12,67,63,Master
Female,White,45,0,2.8,14,60,56,Master
Female,White,48,0,2.7,15,55,51,PhD
Female,White,50,0,2.6,16,50,46,PhD
Female,Asian,39,0,2.9,11,62,58,Master
Female,Asian,42,0,2.7,13,57,53,Master
Female,Asian,45,0,2.6,14,53,49,Master
Female,Asian,41,0,2.8,12,60,56,Master
Female,Asian,44,0,2.6,15,52,48,Master
Female,Asian,47,0,2.5,16,48,44,Master
Female,Asian,43,0,2.7,12,58,54,Master
Female,Asian,46,0,2.5,15,50,46,Master
Female,Black,36,0,2.6,8,45,40,Master
Female,Black,39,0,2.5,10,40,35,Master
Female,Black,42,0,2.4,12,35,30,Master
Female,Black,38,0,2.6,9,43,38,Master
Female,Black,41,0,2.4,11,38,33,Master
Female,Black,44,0,2.3,13,32,27,Master
Female,Black,46,0,2.2,14,28,23,Master
Female,Black,48,0,2.1,15,25,20,PhD
Female,Hispanic,38,0,2.7,9,50,45,Master
