gender,race,age,gpa,years_experience,education_level,skills_score,resume_quality,education_encoded,biased_hiring_score,hired_biased,true_hiring_score,hired_true,age_group,original_prediction,mitigated_prediction
Male,White,53,3.448616575678931,9,Bachelor,17,10,0,77.98616575678932,0,65.98616575678932,0,Senior,0,0
Other,White,57,3.4475689350229866,16,Bachelor,85,15,0,113.47568935022986,0,116.47568935022986,1,Senior,0,0
Female,Hispanic,58,2.8892632976427612,12,Bachelor,56,37,0,69.39263297642762,0,99.39263297642762,0,Senior,0,0
Female,White,35,4.0,0,Bachelor,93,29,0,113.0,0,101.0,0,Middle,0,0
Male,Hispanic,48,3.0574057766281704,10,Bachelor,99,40,0,140.0740577662817,1,120.0740577662817,1,Senior,1,1
Male,White,40,3.678758888821663,4,Bachelor,91,0,0,127.28758888821663,1,90.28758888821663,0,Middle,1,1
Male,Asian,52,2.962532688889376,8,High School,34,37,1,89.12532688889377,0,91.12532688889377,0,Senior,0,0
Female,Hispanic,30,2.873866748448343,6,Bachelor,65,97,0,116.73866748448343,0,121.73866748448343,1,Young,0,1
Female,White,59,4.0,6,Bachelor,55,59,0,96.0,0,109.0,0,Senior,0,0
Female,White,38,3.14581448169058,1,High School,99,18,1,103.9581448169058,0,101.9581448169058,0,Middle,0,0
Male,White,40,3.182946399505228,18,Master,81,97,2,193.82946399505227,1,176.82946399505227,1,Middle,1,1
Other,Asian,25,3.341808602752505,19,Bachelor,42,58,0,124.41808602752505,1,121.41808602752505,1,Young,1,1
Female,Black,32,4.0,17,PhD,72,99,3,147.5,1,189.5,1,Middle,1,1
Male,Black,43,4.0,9,Bachelor,91,67,0,150.0,1,137.0,1,Middle,1,1
Male,White,25,3.841891304162887,4,High School,71,9,1,108.41891304162887,0,96.41891304162887,0,Young,0,0
Male,White,38,4.0,15,Bachelor,7,16,0,118.5,1,81.5,0,Middle,0,0
Male,White,29,2.727711640039546,4,Bachelor,4,79,0,98.77711640039546,0,76.77711640039546,0,Young,0,0
Male,White,55,3.527941995345695,14,PhD,12,84,3,123.27941995345697,1,141.27941995345697,1,Senior,1,0
Male,Black,32,3.2379114654902192,15,High School,6,91,1,123.8791146549022,1,120.8791146549022,1,Middle,1,1
Male,Hispanic,52,2.315456133982072,3,Bachelor,20,71,0,69.65456133982072,0,74.65456133982072,0,Senior,0,0
Female,Asian,32,3.431548465331888,13,PhD,92,28,3,128.3154846533189,1,150.3154846533189,1,Middle,1,1
Male,White,59,2.9545867600429756,16,Bachelor,36,5,0,94.04586760042976,0,82.04586760042976,0,Senior,0,0
Male,Other,42,3.966750420490155,16,High School,44,93,1,165.16750420490155,1,150.16750420490155,1,Middle,1,1
Male,Asian,51,3.002489067780816,15,Bachelor,51,65,0,126.02489067780817,1,118.02489067780816,1,Senior,1,1
Male,Hispanic,31,2.974054015388579,8,Bachelor,47,62,0,120.24054015388579,1,100.24054015388579,0,Middle,1,1
Female,Black,47,3.9665344129256526,1,Bachelor,61,30,0,75.16534412925652,0,87.16534412925652,0,Senior,0,0
Male,White,48,3.1672730107889144,10,Bachelor,77,24,0,139.17273010788915,1,102.17273010788915,0,Senior,1,1
Male,White,29,3.781438846873578,14,Master,50,86,2,155.81438846873579,1,153.81438846873579,1,Young,1,1
Female,Asian,29,3.4121797199616495,2,Master,3,20,2,42.621797199616495,0,69.6217971996165,0,Young,0,0
Male,White,29,3.4188857306517364,15,High School,85,15,1,136.18885730651738,1,124.18885730651736,1,Young,1,0
Female,White,55,3.077976313559797,18,Bachelor,55,3,0,82.77976313559796,0,95.77976313559796,0,Senior,0,0
Male,Black,37,3.451105022853504,5,Bachelor,74,45,0,117.01105022853504,0,104.01105022853504,0,Middle,0,1
Male,Black,34,3.1342540940053873,13,Bachelor,33,7,0,90.34254094005388,0,77.34254094005388,0,Middle,0,0
Female,Black,44,2.7980982761718156,4,Bachelor,44,5,0,48.48098276171815,0,60.48098276171815,0,Middle,0,0
Other,White,33,3.147872842341773,4,Master,15,52,2,94.97872842341772,0,92.97872842341772,0,Middle,0,0
Female,White,48,3.843915394337529,5,Master,8,63,2,95.93915394337529,0,103.93915394337529,0,Senior,0,0
Male,Black,43,3.468004612795683,17,High School,79,90,1,166.1800461279568,1,163.1800461279568,1,Middle,1,1
Male,Other,53,3.5842203656633833,17,Bachelor,15,50,0,102.34220365663384,0,102.34220365663384,0,Senior,0,0
Female,Asian,48,3.2007336857210555,18,High School,94,99,1,172.50733685721056,1,174.50733685721056,1,Senior,1,1
